Ticker,Beta,ATR,SMA20,SMA50,SMA200,52W High,52W Low,RSI,Price,from Open,Gap
WAL,1.71,3.62,0.1246,0.2988,0.9682,-0.0322,3.6024000000000003,73.06,96.19,0.0089,0.0222
WBA,0.46,1.33,-0.0368,0.0074,0.14,-0.1494,0.41490000000000005,43.8,47.2,0.0021,0.0051
WCC,2.53,4.66,0.0519,0.0601,0.5650999999999999,-0.0345,5.3959,57.1,86.44,0.0169,0.0219
WD,1.3,4.47,0.0023,0.0742,0.4955,-0.0546,3.0989999999999998,55.89,100.63,-0.0134,0.0231
WDFC,-0.17,11.31,0.005600000000000001,0.0759,0.3743,-0.0416,1.1140999999999999,59.15,319.56,0.0308,-0.0063
WGO,2.05,3.82,0.0344,0.08800000000000001,0.2359,-0.009399999999999999,3.366,58.32,73.96,0.0248,0.0149
WHR,1.88,7.42,0.0068000000000000005,0.020499999999999997,0.1232,-0.09050000000000001,2.0508,52.24,195.25,0.0359,0.0095
WIRE,1.15,1.99,0.0218,0.0785,0.2645,-0.0294,0.7615999999999999,58.88,66.96,0.0024,0.0154
WIX,1.39,20.24,-0.0192,0.1035,0.16210000000000002,-0.14730000000000001,3.0194,50.48,308.73,0.001,0.014499999999999999
WM,0.76,2.21,0.0519,0.0379,0.0567,-0.0548,0.3907,66.64,118.68,0.022799999999999997,0.0045000000000000005
WMK,0.15,2.03,0.060599999999999994,0.141,0.1736,-0.018500000000000003,0.7968999999999999,67.66,58.29,0.0139,0.0044
WMS,1.41,5.32,-0.0103,0.0944,0.5246,-0.10189999999999999,3.6204,52.44,102.25,-0.028900000000000002,0.019
WRB,0.84,1.67,0.0655,0.0953,0.15380000000000002,0.0077,0.6948000000000001,68.55,72.96,0.019,0.013000000000000001
WSBC,1.1,1.16,0.0986,0.1252,0.38939999999999997,0.0034000000000000002,1.0069,68.77,35.04,0.0195,0.0151
WSC,1.71,1.13,-0.0262,0.0219,0.3601,-0.0916,2.5007,47.76,26.08,-0.0144,0.014199999999999999
WTM,0.53,41.5,0.0042,0.0834,0.2447,-0.076,0.8614,54.6,1171.23,0.047599999999999996,0.0062
WTRE,,0.19,0.0040999999999999995,0.0039000000000000003,0.3171,-0.0538,2.2053,58.87,34.81,0.0023,0.0009
WY,1.92,1.23,-0.0208,0.0038,0.1743,-0.0678,1.5771000000000002,48.86,33.76,0.0202,0.0085
XENE,1.45,1.76,0.18539999999999998,0.2539,0.5565,-0.0891,1.8457,66.35,19.92,-0.0085,0.016200000000000003
XPER,0.77,0.96,0.0519,0.06480000000000001,0.38049999999999995,-0.0066,1.4916999999999998,62.29,22.45,0.0076,0.013600000000000001
Y,0.67,15.16,0.0208,0.0418,0.1309,-0.1151,0.4826,56.4,632.87,-0.0026,0.0141
YY,1.01,8.66,-0.0746,0.1382,0.33039999999999997,-0.2168,1.8281,49.2,116.6,-0.0173,0.0064
ZBRA,1.66,16.9,0.012199999999999999,0.1216,0.47590000000000005,-0.0748,2.1864,56.7,478.15,-0.0137,0.0108
ZTO,0.25,1.34,-0.026699999999999998,0.0676,0.0723,-0.10339999999999999,0.5366,51.5,34.96,0.0011,0.0128
